act,scene,number,characters,dramatic_situation,air_or_melodie,poetic_text,rhyme_scheme,poetic_form,end_of_line_accents,syllable_count_per_line,irregularities,stage_direction_or_cues,reprise
2,0,1,HECTOR,"Hector is reflecting on a conversation about horses he had earlier, which he feels was foolish.",Le beau Lycas aimait Thémire,"Ah ! les nobles têtes disais-je, Quel jarret flexible et nerveux ! On voit, sous leur robe de neige, Courir leurs muscles vigoureux ! Lancés dans leur course intrépide, La vapeur ardente et rapide Semble jaillir de leurs naseaux, Que l'on prendrait pour deux fourneaux.",ABABCCDD,Stanza,feminine; masculine; feminine; masculine; feminine; feminine; masculine; masculine,8; 8; 8; 8; 8; 8; 8; 8,,,
2,4,2,TOUS,Guests at D’Ermont's house are being invited to see a gallery of beautiful paintings.,Air nouveau d'Hervé,"Suivez-moi, je vous prie, Vôus verrez mes tableaux; J'ai, dans ma galerie, Réuni les plus beaux. Oui, puisqu'il nous en prie, Allons voir ses tableaux; Car cette galerie Réunit les plus beaux.",ABAB ABCB,Chorus,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine,8; 8; 8; 8; 8; 8; 8; 8,,(D’Ermont prend le bras aux dames Duprez. Clémence a pris celui de Mlle Chavigny. Duchemin les suit avec Chavigny.),
2,7,3,HECTOR,"Hector is expressing his enduring love for Mathilde, describing his efforts to find her and how his love for her has exhausted him.",Air de Voltaire chez Ninon,"A tous les échos d'alentour Je disais votre nom, ma chère ! Mais en vain. Et jusqu'à ce jour, A mes vœux le sort fut contraire; Mais pourquoi me le reprocher ? Mon cœur sera des plus fidèles, Mathilde, puisqu'à vous chercher Mon amour vient d'user ses ailes.",ABABCDCD,Stanza,masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine,8; 8; 8; 8; 8; 8; 8; 8,,,
2,7,4,ENSEMBLE,"Mathilde and Clémence express opposing emotions towards Hector; Mathilde is disappointed, while Clémence is pleased with her revenge. Hector feels unjustly punished by their actions.","12 Travaux d'Hèrcule, final.","MATHILDE, à part. De ma confiance Dieu veut me punir, Et mon espérance Déjà doit finir. CLÉMENCE, idem. De sa persistance J'ai dû le punir; Pourtant, ma vengeance Bientôt va finir. HECTOAR. D'une extravagance C'est trop me punir Horrible vengeance! Quand dois-tu finir?",ABAB CDCD EFEF,Stanza,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine,8; 6; 8; 6; 8; 6; 8; 6; 8; 6; 8; 6,,(Clémence sort.),
2,2,1,Personnage A; Personnage B,The characters are having a light-hearted conversation about love and its follies.,"Air de ""La Folie d'Amour""","Quand on est amoureux, tout semble merveilleux.
Mais faut se mefier, tout peut s'envoler.
Gardons le coeur ouvert, mais soyons avertis,
Que l'amour quelquefois, peut causer des soucis.",AABB,quatrain,masculine; masculine; masculine; masculine,10; 10; 10; 10,,(Personnage A et Personnage B échangent un regard complice en chantant.),
2,3,1,Valère,Valère is singing about the emotions of love.,Air de la charmante Gabrielle,"Ah! Pourquoi dans ce bois solitaire,
Faut-il que l'amour m'attende,
Quand tout mon cœur soupire,
pour elle que j'adore?",ABCC,quatrain,feminine; feminine; masculine; feminine,12; 12; 8; 12,,,
2,4,1,CHARACTER A,CHARACTER A is expressing longing and nostalgia.,"Air de ""La Belle Enfantine""",Où sont mes beaux jours de fêtes? Où sont passés mes désirs? Les souvenirs sont des reinettes Qui ravivent mes soupirs.,ABAB,Quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,"(Avec émotion, levant les yeux vers le ciel)",
2,4,2,CHARACTER B,CHARACTER B responds to CHARACTER A's melancholy.,"Air de ""Les Amants Cachés""","Ne pleure pas, chère amie, La vie est pleine de chants. Saisis chaque mélodie Avant qu'elle ne s'enfuit lentement.",ABAB,Quatrain,feminine; masculine; feminine; feminine,8; 8; 8; 10,,(Consolant),
2,6,1,Character1,Character1 is expressing newfound love and happiness.,Au clair de la lune,"Dans ce doux mystère\nTout me parle d'amour,\nOublions la terre\nDans ce beau séjour.",ABAB,quatrain,feminine; masculine; feminine; masculine,6; 6; 6; 6,,(Character1 looks dreamily into the distance),
2,6,2,Character2; Character3,Character2 and Character3 are having a playful exchange about their friendship.,Frère Jacques,"Sommes-nous amis?\nOui, sans compromis.\nParole donnée,\nSans fin, pas de prix.",AABB,quatrain,masculine; masculine; feminine; masculine,5; 5; 5; 5,,,
2,8,1,CHARLES; EUGÉNIE,Charles and Eugénie are having a romantic exchange where they express their love for each other.,"Air de ""La Belle Arsène""","Mon cœur t'adore
Depuis longtemps.
Jamais encore
Je n'aimai tant.
En toi je trouve
toutes les vertus;
Oui, je te prouve
Que je suis ému.",ABABCDCD,Quatrains,feminine; masculine; feminine; masculine; feminine; masculine; feminine; masculine,6; 5; 6; 5; 7; 6; 7; 6,,,
2,9,1,LUCETTE,Lucette sings about her love and the hope to marry Alexis.,Air de la Romance du Chevalier,"Au clair de la lune,
Mon ami Alexis,
Prête-moi ta plume
Pour écrire un mot.
Ma chandelle est morte,
Je n'ai plus de feu,
Ouvre-moi ta porte
Pour l'amour de Dieu.",ABAB CACA,Quatrains,féminine; féminine; féminine; masculine; féminine; réj; féminine; masculine,6; 6; 5; 5; 6; 5; 6; 5,"In line 6, 'réj' is a contraction for 'j'ai' to fit the melody.","Lucette stands at the window, looking at the moon.",
2,10,1,Character A; Character B,a comedic exchange between two characters who are in a humorous dispute.,"Ah! vous dirai-je, maman","Ah ! vous dirai-je, maman\nCe qui cause mon tourment ?\nPapa veut que je raisonne,\nComme une grande personne,\nMoi, je dis que les bonbons\nValent mieux que la raison.",AABBAA,strophic,féminine; féminine; féminine; féminine; féminine; féminine,8; 8; 8; 8; 8; 8,,Characters exchange humorous glances as they sing.,
2,11,1,COLETTE; DAMIS; VINCENT,"A discussion between COLETTE, DAMIS, and VINCENT as they reflect on their situations with a sense of light-heartedness and irony.",Des Adieux de Barcelone,"Ah! qu’il est doux d’avoir en tête Un pareil débaras; Le train de la foire est bien fête, Laissez-moi prendre haleine un moment; Mais laissez-moi sur mon front Disperser un nuage!",ABABCC,Verse,feminine; masculine; feminine; masculine; masculine; feminine,9; 8; 8; 9; 8; 9,,"(Colette speaks to Damis and Vincent, gesturing expressively as she sings, highlighting the sense of irrational relief.)",
3,2,1,Character A,Character A is expressing their anticipation for an upcoming event.,Air de la rose,"Je sens frémir mon âme, Quand j'entends ton appel; Mon cœur brûle de flamme, C'est un doux repentir.",ABAB,Quatrain,feminine; masculine; feminine; masculine,6; 6; 6; 6,,,
3,2,2,Character B,Character B is responding to Character A with excitement and agreement.,Amours sincères,"Oui, bientôt, nous serons, Ensemble pour toujours; Les plus tendres chansons, Célébreront nos jours.",ABAB,Quatrain,masculine; masculine; feminine; masculine,6; 6; 6; 6,,,
3,3,1,Unknown,The character reflects on the incessant nature of the city's turmoil and gossip.,Air: Dans ce beau lieu," Dans ce maudit Paris,
 Tout le monde est rumeur, chicane,
 Chaque jour ici l’on se canne,
 On n’y vit qu’en ennemis.
 Ah ! Que je suis las de la vie,",ABABAC,six-line stanza,masculine; feminine; feminine; feminine; masculine; feminine,8; 8; 8; 8; 8; 8,The phrase 'l’on se canne' includes a colloquialism.,"(The character paces back and forth, displaying frustration.)",
3,6,1,LUCETTE,"The lovers seem to be about to quarrel. Lucette is adamant, while Pierrot tries to justify himself and reconcile with her.",Air: Dans le rang dehonneur Bearinge,"Tais-toi, tais-toi, pauvre merveille!",AABA,quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,LUCETTE: (angrily),
3,6,2,PIERROT,"Continuing his attempts at reconciliation, Pierrot sings.",Air: Ah! dis-estime,"Crois que mon coeur est sensible, Se plaindre est inutile, Tes chagrins font mes peines Finissons cette querelle.",ABCB,quatrain,masculine; feminine; feminine; masculine,9; 8; 8; 8,The rhyme scheme is irregular for typical quatrain.,PIERROT: (calming),
3,7,1,Valère; Lucile,Valère is expressing his love for Lucile and his desire to marry her.,Air: 'Charmante Gabrielle',"Quand on aime, c'est du cœur Que naît le vrai bonheur. D'un seul mot, belle Lucile, Récompense mon ardeur.",AABA,quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,Valère takes Lucile's hand lovingly.,
3,8,1,Athénaïs,Athénaïs expresses her determination.,Guillaume Tell,"J'ai pris mon parti, je suis résolue,\nL'amour ne saura plus m'occuper ;\nJ'ai dit adieu pour jamais à ma vue -\nCe sentiment qui me faisait pleurer.",ABAB,quatrain,e; masculine; e; masculine,12; 12; 12; 12,,(determined tone),
3,11,1,Character A,Character A is expressing their frustration with their romantic situation.,Air de Carmen,"Amour cruel, que veux-tu de moi?\nDu moins, épargne mon cœur en émoi.",AABB,Couplet,masculine; feminine,9; 9,,,
3,11,2,Character B,Character B responds to Character A's lament with a hopeful sentiment.,Melodie de Chérubin,"Espère toujours, ne perds pas la foi.\nLa vie est belle malgré tout, tu vois.",AABB,Couplet,feminine; feminine,9; 9,,,
3,12,1,CLAIRVILLE; CELIMENE; COLETTE,"Clairville and Celimene are continuing their duet to express their love, while Colette joins in.","""Adam, Adam rendez nous le bon homme.""","Depuis longtemps je vous ai cherie, Vous &ecirc;tes l'idole de mes voeux: Si jamais je vous rendais heureuse Mon bonheur serait dans vos yeux.",AABB,quatrain,féminine; masculine; féminine; masculine,10; 8; 12; 8,,"(Colette entre, se joignant &agrave; eux.)",
3,13,1,A character_name_placeholder,A tense confrontation,Air_title_placeholder,Lyrics for the air go here.,,Stanza form description goes here.,,,,,
3,14,1,Georget,Georget is expressing his longing and anticipation.,Va t’en voir s’ils viennent,"N’est-ce pas elle que j’aperçois?\nComme elle a grandi, la Demoiselle!\nQue je t’aime, que je te vois!\nAh! pour moi, plus belle que belle!",ABAB,quatrain,feminine; feminine; feminine; feminine,11; 11; 10; 10,,(Georget is eagerly looking out into the distance as if expecting someone.),
3,15,1,CHARLES; ROSE,Charles and Rose are having a light-hearted conversation about love and flirtation.,"Air de ""Charmante Gabrielle""","Quand l'amour est tendre,
Tout charme nos sens ;
Il sait se faire attendre
Dans nos plus doux instants.",ABAB,quatrain,feminine; masculine; feminine; masculine,6; 6; 6; 6,,(Ils se regardent avec tendresse.),
3,16,1,Florise; Arlequin,Florise and Arlequin are having a lively conversation about the unpredictability of life and fortune.,J'ai du bon tabac,"La vie est un songe, Un reve enchante, Où l'on nous prolonge, Sans nous consulter. Tour a tour on s'agite, On rit et l'on pleure, Et pour une heure L'on aime un jour!",ABABCCDD,quatrain followed by a couplet,féminine; féminine; féminine; féminine; féminine; féminine; féminine; féminine,8; 8; 8; 8; 8; 8; 8; 8,,(Florise takes Arlequin's hand and they begin to dance joyfully),
3,18,1,Unclear,"Following the death of the miserly uncle, a group gathers to discuss the spoils.",Un homme aimé des plus belles,Par le plus grand des hasards La mort de l'oncle nous flatte: Et nous fait tous d'héritiers Je suis las de cette bataille.,ABAB,Quatrain,féminine; féminine; féminine; féminine,8; 8; 8; 8,,(They jubilantly discuss their newfound fortunes),
3,19,1,Character1; Character2,A comedic exchange between two characters involving mistaken identity and secret loves.,Air de 'Je suis encore dans mon printemps',"J'avais cru voir dans vos yeux (A)\nUne lueur d'espérance ; (B)\nMais ce n'était qu'une nuance, (B)\nD'un feu trompeur et dangereux. (A)\nAh ! quelle est ma douleur immense ! (C)",ABBC,Quatrain followed by a refrain,feminine; feminine; feminine; masculine; feminine,9; 9; 9; 9; 9,,"(Character1 gestures dramatically towards Character2, who turns away coyly.)",
3,21,1,Arlequin; Colombine,"Arlequin and Colombine express their unabated affection towards each other, suggesting a lively and cheerful interaction.",Air of 'Ah ! que l'amour cause de peine' from Grétry's 'L'Ami de la Maison',"Que l’amour a de doux charmes !
Quand il unit deux beaux cœurs,
On oublie tous les alarmes,
On ne ressent que des fleurs.",ABAB,Quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,"Arlequin and Colombine holding hands and swaying gently to the music, indicating deep affection.",
3,21,2,Pierrot,"Pierrot humorously laments his misfortunes in love, providing a comedic counterpoint to the romantic duet of Arlequin and Colombine.",Air of 'Les Tristes Apprêts' from Rameau's 'Castor et Pollux',"Amour eternel, quand tu me boudes,
Je vais au fond de l’abîme;
Mais si tu reviens, sans tes chaines rudes,
Je ris du sommet sublime !",ABAB,Quatrain,masculine; feminine; masculine; feminine,10; 10; 10; 10,,"Pierrot, with exaggerated gestures, expressing despair, then joy.",
3,22,1,Philippe; Cecile,"Philippe serenades Cecile, trying to win her affection while she playfully teases him.",Air de 'Charmante Gabrielle',"Philippe: Charmante Cécile, écoutez ma voix,
Elle vous supplie et tremble d'émoi.
Cecile: Charmant Philippe, je veux bien vous croire,
Mais quelle est donc votre histoire?",AABB,Quatrain,feminine; masculine; feminine; masculine,9; 10; 9; 9,None,"Philippe kneels as he sings his lines, looking earnestly into Cecile's eyes. Cecile twirls playfully as she responds.",
3,23,1,Valère,Valère is expressing his despair over a failed romantic pursuit.,Vaudeville de Colinette à la cour,"Hélas! faut-il que je m'écrie,\nTout est fini, je n'ai plus rien;\nL'amour m'avait promis une douce vie,\nMais aujourd'hui ma joie s'est enfuie.",ABAB,Quatrain,feminine; masculine; feminine; masculine,8; 8; 8; 8,,"(Valère, with a sorrowful expression, holds his head in his hands.)",
3,24,1,CHARLES; JEAN,"Charles and Jean discuss their colorful and carefree lifestyle, emphasizing their enjoyment of freedom and the pleasures of life.","Air de ""Lison dormoit dans un bocage""","Nous aimons la belle vie,\nRiant du matin au soir,\nEt sans jamais rien vouloir,\nQue de boire un coup de jaja.",AABB,Quatrain,feminine; masculine; masculine; masculine,8; 7; 7; 8,,"(Ils chantent joyeusement, levant leurs verres.)",
